text,at,label
Aplikasi yang sangat bagus dan membantu dalam membeli platihan prakerja saya karena materi platihan yang di berikan sangat mudah di pahami.,2020-10-05 2:14:32,positif
Parah login aja susah di update tambah ancur aplikasinya,2021-08-10 13:01:08,negatif
"Kecewa gua sm app ini , soalnya respon dr penjual kurang cpt . Pdhl gua check penjualnya 1 kota ama gua . Skrg nunggu refund susah amet . Apalagi balikin uangnya harus munggu 2 minggu . Pdhl baramg yg gua order sngt bgt gua butuh . Intinya kecewa gua",2018-10-29 2:19:28,negatif
"Trimakasih,, tokepedia sudah membantu proses pembelajaran saya di prakerja",2020-09-11 12:14:11,positif
"Nyesel deh kalian kalau instal,kalau udah kena masalah barang tertukar,saya cape keliling-keliling cari kantor pengirim udah itu uangnya tidak dikembalikan,mana adminnya gak bilang pake asuransi",2021-09-02 12:15:47,negatif
Jujur saya suka sama Tokopedia tapi masih ada saja seller yg tidak mendengar kan keluhan costumer seperti pesanan terlalu lama sudah di chat seller nya tetap saya tidak didengar,2020-10-26 1:30:05,negatif
"sampai segitunya promosi setiap buka web selalu mengganggu ,,",2019-06-23 15:07:39,negatif
selalu iklan tokopedia yg muncul di uc browser 😑,2019-06-16 16:24:55,negatif
Hai Tokopedia terimaksih telah mempermudah kami Melaksanakan program kartu prakerja sehingga kami dapat lebih mudah untuk memahami nya,2021-03-21 18:40:09,positif
iklan aplikasi ini sangat sangat mengganggu saat menbuka google,2019-05-13 15:00:58,negatif
"Woy 4nj1ng b4b1 gua lg enk2 main walking dead 2 lawan bos malah muncul iklan lu udah mati matian nge lawannya pula malah ke buka play store kan ngulang, k0ntol lu.",2022-03-09 15:01:56,negatif
"Mau ajukan pengembalian dana ribet banget, kalo d toko sebelah kan lebih gampang",2018-12-24 0:10:47,negatif
"Tokopedia jadi ga jelas,suka eror eror padahal sinyal mah bagus.👎",2021-04-23 13:42:00,negatif
Halo pak/ibu saya abdul pari Saya sudah menyelesaikan pelatihan Sudah saya ulas sudah dapat sertifikat Tapi sertifikat saya kok belom tampil juga di dasbor prakerja saya Saya sudah menanyakan kepada customer care prakerja katanya pihak Tokopedia nya belum mengirimkan sertifikat ke prakerja... Tolong kerja sama nya biar saling memuaskan terimakasih,2020-12-08 16:18:16,negatif
Aplikasi bagus..sangat membantu...klo bisa promo nya di banyakin lagi👍,2021-11-24 0:17:26,positif
"blm pernah belanja sih, tp udh hampir 6 bulan bayar listrik di sini terus soalnya dpt cashback :) Up: skrng udh pernah belanja",2019-08-11 4:37:25,positif
Yang paling disuka dari tokopedia itu promo cashbacknya 😊 the best lah,2018-09-15 5:33:08,positif
"kpd pihak toko pedia ,jgn pernah ngasih iklan d web atau d akun google lainnya ,kami terganggu atas iklan anda ,tolong kpd pihak toko pedia jgn membuat iklan d mna mna lg yg mengganggu kenyamanan kami ,saya terganggu ingin download apk d google ketika iklan dari toko pedia muncul ,jikalau masih memberikan iklan d web google maka ,saya akan berusaha menghapus apk anda dengan keras,saya minta tolong",2019-05-03 0:15:01,negatif
Aplikasi anjg klo voucher gabisa di pakek ya jgn di tampilin lah bego!!! Mana duit gw gabisa di tarik ulang Semoga yg punya app ini matinya susah !!!!,2022-09-02 15:37:36,negatif
"Kupon potongan ongkir ngga ada, yang ada kupon gratis ongkir, memang sangat membantu, yang jadi beban itu, kenapa yang dipakai itu kurir sicepat, paket sudah 5 hari nyampe kabupaten harusnya bisa dikirim di hari yang sama, suka banget nunda-nunda pengiriman. Coba kasih pilihan kurir itu yang bertanggung jawab dikit, developer, soalnya kupon yang bisa dipakai cuma itu, atau pakai reguler tarif normal, mending belanja di shopee kalau gitu",2022-06-20 6:16:44,negatif
"Terima kasih atas partisipasi nya bekerja sama dengan kartu prakerja, dan saya harap bisa terus membantu orang2 yang sedang membutuhkan pekerjaan, dan kedepan nya semoga tambah sukses aamiin Good job",2020-09-19 15:18:37,positif
Baru sekali.ini belanja super lengkap.,2021-01-23 10:44:30,negatif
"Bisa""nya tokopedia kerjasama ama ekspedisi anter aja, pantes gratis barang smpe skrng ga sampe"", pdhal pertama kali pake tokped dan sudah bkin image sangat buruk, barang datang auto uninstal byee",2020-10-31 2:53:02,negatif
"Sangat baik,tolong dari tokopedia memproses data prakerja saya.saya sudah menyelesaikan semua arahan dari tokopedia skill academy dan prakerja,namun dana intensif saya belum ada dan sertifikat di dasboard belum ada🙏🙏",2020-09-10 10:49:38,positif
"maaf min Salah sangka makasih min atas kode voucher nya, aplikasi sangat bagus gk Ada Penipuan Di voucher game",2019-06-07 7:07:17,positif
"Proses pemberitahuan dari pembeli cepat dan juga melalui email. Cepat dan terpercaya, dana cair juga cepat. No complain.",2019-06-21 12:18:00,positif
"Terimakasih Tokopedia, sdh memberikan pelatihan melalui Skill Id...sangat bermanfaat dan membantu,,,,mantap 👍,SUKSES SELALU BUAT TOKOPEDIA",2020-10-11 12:27:54,positif
"Saya menggunakan Tokopedia untuk melakukan pelatihan prakerja ,dan apk ini sangat mendukung dan mudah untuk melakukan pelatihan",2020-09-07 5:23:02,positif
"Kemari tgl 3 September saya melakuan pembelian pelatihan prakerja Skill Academy Pelajari Dasar Bahasa Inggris Untuk Pemula Bagian 1 saldo berkurang tapi vocer nya ga muncul juga, sekarang saya tidak bisa mengikuti pelatihan,, mohon bantuannya agar vocer saya ada dan bisa mengikuti pelatihan lagi",2020-09-04 16:50:37,negatif
sangat baik Tokopedia,2022-04-21 5:43:03,positif
"Gabisa input beli barang.. dijadikan wish list juga gabisa,, cuma bisa searching barang, gabisa buat beli tolong diperbaiki",2020-04-03 8:38:43,negatif
"pesanan sudah sya bayar saya sdh tggu 2 hari kemudian tiba"" pesanan di batalkan dan promo gratis ongkir ny hilang dan saya harus pesan ulang dan menunggu lagi padahal sya sangat memrlukan barang sya pesan secepat mungkin",2021-02-26 2:47:07,negatif
"Jujur kecewa sih sama tokped, Dpt voucher promo terus ku pakai lalu udah ku cek out udah bayar sering banget tokped itu tbtb membatalkan pesanan dgn alasan melanggar t & c, kalau memang Tidak memenuhi persyaratan atau melanggar t & c harusnya sistem tidak bisa cekout, nah ini di tokped bisa cek out, bgitu udah bayar malah dibatalkan, jd ribet buat narik dana lagi kan, Tolong diperbaiki sistem nya kalau memang melanggar t & c harusnya TDK bisa cekout, kyk toko Oren tuh klo melanggar ga bs CEKOUT",2022-07-05 7:15:38,negatif
Kak kenapa fitur tukar tambahnya jos ya :) LG G7+ resmi indonesia msih bagus semua dihargain cman 50 ribu :),2020-03-22 11:53:36,negatif
Loading nya lama padahal sinyal bagus,2021-06-02 9:05:55,negatif
setelah baca ulasan banyak yang komplein ga jd deh beli😂 takut ane juga ikutan komplein.,2019-08-06 5:33:33,negatif
"Aplikasi bagus sangat mudah dalam hal transaksi,,, saya baru saja membeli kelas pembelajaran online dan itu sangat mudah",2020-09-27 13:34:29,positif
"okeee banget buat belanja ,selalu gratis ongkirrr.. rekomendasi untuk belanja",2022-07-10 6:03:12,positif
Kenapa kolom deskripsi barang di iklan tidak ada setelah di update?,2020-02-12 4:20:31,negatif
eh bego..kalo uda jam 5 sore order untuk driver online tuh..di tarik semua goublog..jgn di biarin muter' sampe besok lagi lol..merugikan driver online..contoh sy baru keluar..jam 6 dtp tokopedia anjg..tlpn toko masih tutup..buka nanti jam 9..mau ngk mau hrs cancel sendiri dah..bangs..,2019-04-04 23:41:40,negatif
Tolong adakan fitur live chat untuk keluhan costumer tentang seller yg malas respon setelah pembayaran. Saya pesan hp di tokopedia dari tgl 23 mei smpai sekarang belum dikirim mau tanya sma pihak tokopedia gabisa ... mungkin terkahir kali belanja di tokopedia kalau fitur live chat belum ada,2020-06-08 17:59:56,negatif
"Hahaha Tokopedia kagak jelas Di adakan promo bebas ongkir 0rp khusus pengguna baru tetapi di batalkan otomatis..padahal baru kali ini buat akun nya Yang saya bingung kan,kenapa ada kesamaan data pengguna Yaudah toped jangan adakan promo lagi lah tetap aja kalah jauh sama shoppe dan lazada Kagak jelas promo nya.. Sekarang sudah banyak pengguna setia shoppe Yang hadiah nya besar besaran.. God jobb shoppe kami adalah setia kamu Walaupun ongkir nya mahal tetapi bisa di gunakan ongkir nya",2021-10-06 19:30:41,negatif
"Dibatalkan secara sepihak, dan itu pun dikembalikan tidak full. Lalu ditarik kembali dari akun tokped harus nunggu 2x24 jam, dan sampai sekarang belum sampai. Diperbaiki ya min",2021-05-11 3:29:15,negatif
"keren , cuman harus ad deskripsi barang baru atau bekas , biar g ktivu, tp slbh ny ok",2019-04-14 4:42:00,negatif
"gue instal ini bukan mau buat belanja , cuma mau bilang KONTOL , iklan mu dimana"" emosi gue buka link download aj smpai 10 menit gra"" iklan mu , dah make ad block tetap aj tembus , iklan KONTOL",2019-06-25 18:38:29,negatif
"trimakasih tokopedia karna saya membeli pelatihan kartu prakerja di tokopedia, pembeliannya lancar, tak ada masalah, dan jg banyak pelatihan² yg bagus di tokopedia.. trimakasih..",2020-09-04 14:56:04,positif
Saya sudah membeli dan belajar pelatihan di sini . Semoga kedepannya menjadi lebih baik teruss aamiin.,2020-09-21 5:41:17,positif
Sangat baik mudah di pahami menambah wawasan ilmu yang lebih baik🙏,2020-10-04 22:37:55,positif
"Pelanggan lama pakai gratis ongkir tidak di respon. Cs baru saja yg cepat di respon. Sudah datanya bocor pula... ( hati"" data kita bocoorrr)",2021-09-15 21:29:07,negatif
Sangat mudah memahami aplikasi yang dibuat untuk dipaksa instal merepotkan,2021-03-18 13:32:02,negatif
"aplikasi sampah masa cashback yg sudah di berikan di tarik kembali, ..jangan download dan belanja ditokopedia ,, harga mahal.. mending belanja di shoppe dan bukalapak",2020-04-28 10:11:43,negatif
"Masa saya transaksi pengguna baru, malah otomatis gagal terus. Baru awal aja udh kek gitu. Saldonya malah dibalikin lg. Jadi ilang promonya aduh",2020-11-09 12:32:18,negatif
"Sangat membantu, mencari Barang banyak dan mudah.",2019-08-31 5:08:18,positif
Tolong tokopodia menindaki bagi toko yg gak niat jualan. Saya order barang udh saya bayar. Tapi statusnya masih menunggu konfirmasi. Saya chat toko gak di respon,2021-02-14 8:16:30,negatif
Tokopedia platform tidak jelas. Jangan beli pelatihan prakerja di tokopedia karena belum cair prakerja kalian. Nyesal aq pilih tokopedia,2020-09-06 17:17:41,negatif
Fitur transaksi pembulatan emas sdh tidak ada...tokopedia care jga tidak berfungsi...jd tambah jelek bknx makin bagus...,2020-11-22 5:06:49,negatif
"Payah, padahal ketik pencurian udah sangat spesifik, tapi yang keluar banyak macam, dan official store yg barangnya murahan malah sering keluar, mengganggu pemandangan boss",2022-04-12 5:46:18,negatif
Bos... klo bisa aplikasi ini bisa bayar di tempat biar tambah ok blanjanya bos. Trimakasih,2019-12-14 12:02:09,positif
"Terimakasih Tokopedia dan skill academy, sangat memuaskan, Sangat membantu",2020-09-29 13:52:38,positif
"Jelek,iklan doang gratis ongkir nyatanya ngga",2022-04-24 5:36:38,negatif
Sangat memuaskan!!melalui tokopedia bisa dapet ilmu yang bermanfaat,2020-11-24 12:29:14,positif
sumpah kan aku buka aplikasi ini terus kayak ada bacaan 0 rupiah pas aku coba klik dan beli ternyata beneran bayarnya top banget Tokopedia mantap,2021-09-18 11:24:57,positif
Bagus sebagai mitra prakerja . Sangat membantu,2020-09-04 13:42:01,positif
Kenapa ya saya isi pulsa 25.000 tpi pulsa nya tdk masuk. Padahal kemarin prnh juga isi melalui tokopedia tdk ada kendala. Knpa skrng ada kendalanya?,2020-03-09 13:52:33,negatif
mantap...kalo bisa tambahin terus kupon promonya,2021-12-23 5:29:49,positif
"Untuk pesanan yang belum terkonfirmasi seller (menunggu konfirmasi) seharusnya bisa langsung dibatalkan tanpa persetujuan seller, seller aja blom terima orderan masa ga bisa cancel, sekarang hanya menunggu kapan dikirim dengan limitasi 24 jam, saya sengaja pilih instan courier agar segera sampai hari ini sementara besok pagi barang harus ada karena untuk kado, cuma saran untuk pembeli lain ,kalo mau buru buru jangan pake ini",2021-02-17 10:41:10,negatif
bagus banget dan lebih muda jika mencari suatu barang,2020-04-03 6:50:07,positif
"Saya kesal beberapa kali ceckout kode bayar yg tampil tdk muat di layar sehingga tak bisa melakukan pembayaran,minta petunjuk pusat aduanya pun tdk bisa memberi solusi,",2020-03-19 8:54:54,negatif
"Kecewa bangeet katanya pengguna baru harga 0 rp la saya tinggal 1 tempat sama temen saya baru pakek toko pedia udah transfer numpang,e pihak toko pedia membatalkan pesanan,dikira curang mana uangnya gk bisa di cairkan lagi😠😠😠😠",2021-02-09 16:11:21,negatif
aplikasi ngecewain Klo gw gak dapet cashback info dong alesan nya apa Bukan nya biasanya klo transaksi dengan cashback gak berlaku itu ada notif nya ? Kecewa gw layanan aplikasi ini sampah,2020-07-03 4:13:16,negatif
Buat bayar-bayar tagihan emang paling top kalo tokopedia..,2021-02-24 3:26:50,positif
"Tokopedia..memang the best..pokok ny mantapp. Yg blum punya aplk ini,buruan download...karna semua ny ada disini",2021-10-05 13:53:10,positif
toko pedih sudah bner2 ngecewain...klo sya ngga sama tokopedia. perusahaan besar tp ko eror y..,2019-03-19 8:31:52,negatif
Terimakasih layanan dan responnya nya sangat cepat,2021-09-24 8:16:49,positif
"Sangat membantu sekali bagi saya seorang pemula dan sangat baik untuk menjadi pedoman bagi aku pribadi, terimakasih tokopedia",2021-03-17 16:51:42,positif
aplikasi terpercaya untuk jual beli. customer care nya responsive. langsung ditangani jika mengalami kendala jual beli anda.,2019-01-28 5:27:08,positif
Sangat baik. Terimaksih toko pedia,2020-09-30 14:10:20,positif
"Blm ada solusi? Aku login mentok di tulisan ceklis besar, pas di tekan kembali malah login ulang",2022-08-09 11:00:43,negatif
Tokopedia sangat membantu dan mudah bertransaksi saat pembelian.sukses terus Tokopedia.,2020-09-28 8:26:18,positif
Enaknya mndpt kemudahan dlm brblnja. Smga tokped bisa menindak pedagang2 yg lama konfirmasinya,2022-06-07 6:34:27,positif
"Aplikasi sih bagus, tapi kupon promonya kebanyakan syarat, dapat kuoin gak ada yg berguna dan gak ada yg bisa digunain, kupon kok semua buat pengguna baru, kelihatan aplikasi gak laku ini.",2020-12-19 1:14:56,negatif
semoga semakin mudah untuk pemesanan dan pembayaran.,2021-10-04 1:44:21,positif
"goodjob.. tingkatkan ,keren banget tokopedia.. terimakasih",2020-11-11 5:44:55,positif
puas sama aplikasi toko pedia tingkatkan terus cashbacknya hehe,2021-11-19 3:44:06,positif
"makin kesini makin pelit, free ongkir susah bgt dapatnya",2021-01-01 4:10:43,negatif
Belum coba semoga bagus,2022-05-30 11:41:09,positif
Aplikasi belanja online yang sangat mudah dan aman,2020-09-18 18:22:17,positif
"makasih banget toped, bisa beli earphone jete gratis barangnya, gratis jg ongkirnya",2021-10-14 15:54:36,positif
"applikasi bapuk, saat mau checkout dapet diskon 30rb, pas udah bayar malah di batalin sistem.. dengan alasan ga masuk akal, kalo di batalin sistem, ngapain ada embel embel diskon di awal? tokped tokped gmn mau bersaing dengan marketplace lain,, promo nya aja tipu tipu, hadeuhhh.. kecewa, ga lagi lagi belanja di tokped.. udah paling bener di Shopee..",2022-07-06 19:13:06,negatif
Saya sudah melakukan pembayaran via ovo untuk paket data saya dan saya sudah menunggu selama 60 menit kenapa status nya masih dalam proses ya. Saya kecewa,2021-02-04 1:57:55,negatif
"jangan pasang iklan sembaranga bos, jangan ganggu kenyamanan, pemberitahuan anda sangat mengganggu kami",2019-03-20 21:06:56,negatif
Ada Pemberitahuan.... UPDATE.... Sudah saya Update.....mudah2an ngga Masalah ....,2021-02-16 12:12:41,positif
"voucher free ongkir n cashbacknya mohon bisa digabungin dung, biar makin yahud...",2019-05-19 10:47:16,positif
"Terimakasih tokopedia, pelatihan yang saya ambil bagus sekali menambah pengetahuan saya dan materinya mudah di pahami",2020-10-12 23:01:57,positif
wah bagus banget ternyata tokped lebih bagus,2022-05-25 10:35:31,positif
"Aku Belanja terus di Tokopedia, karena Tokopedia ini Selalu Ada,selalu Bisa",2021-05-05 22:22:06,positif
"Terimakasih toko pedia yg telah mmfasilitasi kls pelatihan kmi prakerja di kls skillacademy,smga bermanfaat. Dan semga toko pedia slalu maju amin. Mhon segera d proses ya tokopedia agar sertifikat saya d dasboard cpt kluar,soalnya sdh 7 hari blm kluar smpai skrng",2020-09-01 9:22:27,positif
Habis di update macet total... Terpaksa out...,2020-05-11 17:06:05,negatif
"Aplikasi saya tiba2 kembali jadul ke versi awal, padahal HP tdk di apa2in.. Download ulang malah gak bisa.. Pdhl saya lg nunggu pesanan..",2020-12-16 12:02:39,negatif
"terima kasih tokopedia,saya sdh menyelesaikan pelatihan dengan sangat baik",2020-09-21 7:56:10,positif
Belanja di tokopedia mudah dan murah,2021-02-09 8:10:18,positif
"baru mau coba menggunakan tokopedia, ehh pas saya baca komentar hampir rata2 komentar kurang menyenangkan. gak jadi deh pake tokopedia. pake yg lain aja",2019-11-27 3:12:20,negatif
"Terimakasih jadi lebih mudah berbayar, sering sering ngasih voucher nya ngab hihihihhi",2021-07-27 14:30:30,positif
"Alasannya Cuma gara-gara adanya kesamaan alamat pesanan saya di batalkan sepihak, alasannya aneh saya d tuduh mau ngejar promo gratisan ongkir😂, asal kalian tau di shopee bisa nikmatin puluhan focer gratis ongkir puluhan sampai ratusan ribu perhari ngak pernah tuh di perlakukan diskriminasi. Kecewa dengan aplikasi ini,download cuma buang kwota internet saja rugi.",2022-02-06 20:26:03,negatif
"Salah satu aplikasi online yg sangat baik sekali, selain itu bisa juga untuk membeli kartu/voucher pelatihan prakerja, untuk saat ini tokopedia bagus sekali.",2020-09-20 9:41:06,positif
"Saya sudah menyelesaikan pelatihan 100% mengapa tidak muncul status seterpikat saya di dasbor katanya harus kasi rating dan ulasan di toko pedia juga lalu kenapa pas login mau kasi rating dan ulasan kok keterangannya ""TRANSAKSI MASIH KOSONG"" terus aku keluarin app nya login lagi dgn email masukan no. Hp keterangannya ""NOMOR HP SUDAH DIGUNAKAN OLEH BANYAK PENGGUNA"" ini maksdnya gmna ya,kok ribet banget",2020-10-16 3:13:55,negatif
"Aplikasi yang sangat Bagus, dan sangat membantu contohnya saat membeli tidak perlu takut ketipu karena ada pilihan website OFFICIAL STORE nya.!!!",2021-10-03 11:38:37,positif
Toling iklannya lah.jangan ganggu aktifitas saya dengan acara iklan tiba - tiba muncul gak jelas. Naik pitam.iklan kok main nyelonong aja.,2019-08-22 15:54:56,negatif
belanja sangat mudah ya di Tokopedia kakak 😘😘😘😘,2021-12-19 4:05:56,positif
Terimakasih tokopedia sudah bekerjasama dengan mitra prakerja. Ini sangat membantu sekali sehingga saya dapat membeli pelatihan di skill akademi,2020-08-30 12:35:36,positif
Ongkir mahal terus cod gk bisa produknya juga mahal-mahal,2021-02-20 13:12:24,negatif
pesan kurir instan tgl 22 jm 11.40an sd tgl 23 jam 17.03 gak ada status apapun. instan nya konyol. mending di sebelah 2 jam sampai,2022-08-23 10:03:51,negatif
"Tidak mantap lagi berani ngasih cshback besar tapi malah GK cair , sistem menbnggongkan",2022-08-08 23:11:26,negatif
Terbantu sekali...gratis ongkir tnp ribet..,2022-06-13 7:50:11,positif
sangat membantu sekali dalam belanja online..... terima kasih banyak tokped,2020-03-19 10:27:27,positif
"Untuk saat ini semua transaksi saya lancar, tetap dipertahankan saja,,, supaya tetap jadi yg terbaik..",2021-03-18 6:40:23,positif
"Nyesel Download TokoPedia Sebagai E-commerce,Pelayanan Kurang. mending pakai aplikasi sebelah yg warna Orenge.",2022-06-18 5:07:03,negatif
Suka banget aku selalu dapet gratiss😭💗💗 toko pedia love you💗💗💗💗,2022-07-05 2:12:33,positif
"Kecewa beli barang dan stok barangnya ada, dan udh beli lalu bayar eh dlm waktu 5 menit dibatalkan, karena ada pelanggaran, lho ko aneh pelanggaran apa sy bener beli pake uang sy ko dianggap pelanggaran",2021-03-12 14:25:34,negatif
"Cs nya gak berguna, lmbat, tdk memberikan solusi, memverikan berita palsu, katanya kerjasama sama jasper, estimasinya masang tgl yg beda heran",2022-01-22 13:08:40,negatif
"saya mau mengajukan keluhan tentang aplikasi tokopedia ini, aplikasi ini terus memaksa saya untuk mengambil hadiah dan menginstal aplikasi ini secara terpaksa lewat aplikasi uc browser. Itu sangat mengganggu saya ketika saya sedang browsing untuk sekedar mencari referensi tambahan untuk belajar atau mengerjakan tugas!! sekian terima kasih",2019-07-19 15:02:38,negatif
Aplikasi bagus banyak diskonnya belanja di tokopedia mantap dech,2021-03-26 4:24:04,positif
"pergi kau dari aplikasi UC browser , iklan boleh tapi jangan maksa napa ??? lagi internetan tiba-tiba muncul di tap kembali malah hilang 😑 halaman internetan , kalau mau iklan jangan maksa napa, udah bagus2 hilang sekarang muncul lagi -.- kesel gue !!! andai ada bintang 0 gue kasih dah dah bagus2 ilang muncul lagi lu mengganggu lu",2019-06-22 14:26:29,negatif
"Pengalaman pertama kali pake tokped pesan barang tgl 16 terus di sistem paket di siapkan dan dikirim terus sudah tgl 19 kesalahan resi, dikirim ulang tgl 20 paket sampe tgl 24 dan paket rusak, milih kurir direkomendasi paling cepat tiki sampai tgl 21 tapi kenyataannya ngaret/lama. Sistem pembayaran sulit kalo mau pake bank, tokped kurang tegas",2022-05-24 4:03:43,negatif
Ikut pelatihan di tokopedia sangat mudah dan recomended bngt,2020-09-19 7:56:53,positif
mg banyak membantu msyarakat indonesia,2022-08-12 3:52:27,positif
Gak mengecewakan barang gampang dilacak....Terimakasih Tokopedia,2018-12-14 0:27:04,positif
Pelayananya lumayan cepet. Kalo ada masalah cepet d responnya. Mkasih tokopedia,2020-09-19 14:37:58,positif
Apes belanja di tokopedia...seller nya banyak yang nipu...barang ga sesuai gambar yg di pajang...!! Seller kaya gitu kok msh d lolosin aja..!!!,2021-02-10 14:16:51,negatif
"pernah belanja dan barang tak ada, uang tetap kembali",2019-04-10 5:56:12,positif
"Akhirnya tampilannya balik lagi, gak bikin orang bingung",2021-04-07 22:30:11,positif
"Ga jelas, bikin promo bikin promo, udah topup banyak"" promo ga bsa di gunain, nipu orang doang, iklan dimana mana, promo dimana mana, pas udah transaksi eh di tipu",2022-04-03 16:05:52,negatif
"Mempermudah, mendukung program dirumah saja...",2020-08-01 10:59:53,positif
"Sorry harus bintang 1. Pas lihat ulasan ada gangguan di rumah toped harus download gak bisa di download, sinyal 4G tapi gak bisa didownload.. tolong fix",2022-04-27 17:02:50,negatif
Kecewa berat dg Tokopedia skrg...pesanan di cancel tanpa alasan jelas...krn sistem yg dirugikan customer...padahal udh lama.banget pake tokopedia dr segala macam pembayaran...skrg malah mengecewakan...maaf masih banyak belanja online lain yg lebih mudah dan gampang🙏🙏,2021-08-04 16:08:08,negatif
Apaan sih gak jelas banget...kgk ngapa ngapain tiba tiba akun di non aktifin..mentang mntang ada voucer mau dipake malah dinonaktifin..berasa gk mau rugi banget🙂,2021-04-02 7:41:25,negatif
"Terima kasih Tokopedia dan PAKAR sudah memberikan materi yang sangat simple di kelas prakerja Pakar meraih omset 10 juta pertama di sosial media ( Instagram ) sangat membantu,serta sangat bermanfaat untuk perkembangan usaha saya..terima kasih Tokopedia dan Cakap.co.id 👍👍👍👍👍",2020-09-08 8:00:02,positif
Pngguna baru dpt brg Rp 0 tapi brg ga Sampe ktmpt sampai skrg .. ke Tokopedia care malah menyudutkan kami... Pdhl TDK ada foto sp yg terima brg... Akhir ny solusi di hentikan tnpa ada solusi apa2 dari toped... Akun baru tp UD kecewa.. auto uninstal... LBH baik shopee is the best...,2021-06-16 0:08:29,negatif
Saya akan kasih bintang 5 jika diadakan fasilitas cicilan tanpa kartu kredit dengan akulaku karena hanya Tokopedia beda dengan shopee & JD id,2019-10-18 15:12:23,negatif
Tolong dong admin dan moderator tokopedia lebih sering patroli dan tertibkan akun2 baru yg sering spam bikin iklan2 gadged dan handphone dengan harga gal wajar Mohon banget segera di tertibkan Karena spammer2 begitu bikin pencarian barang sulit dalam membedakan mana lapak yg real dan mana yg lapak fake.,2018-11-09 9:21:43,negatif
"Saya mau tanya, di keluarga saya, ada 3 angota keluarga lulus prKerja, dan ketiga akun prakerja itu membeli pelatihan di satu akun tokopedia. Nah mau kasih ulasan dan rating gagal terus. Solusinya gimana agar nanti tidak terkendala di insemtifnya",2020-08-31 2:05:39,positif
Bermanfaat sekali... Dimudahkan terus.. Banyak Pelatihan di Tokopedia yang sangat membantu saya..Terima Kasih banyak Tokopedia...,2020-09-11 13:55:57,positif
diskon dan free ongkir sangat membantu,2020-06-01 5:41:57,positif
"Aplikasi ini sangat bagus,sy kalo top up diamond ff di sini,murah,aman dan selalu berhasil",2019-12-07 7:14:00,positif
"aplikasi ga amanah, 3 transaksi selesai dengan janji cashback total 30 ribu, yang masuk cuma 10 ribu",2020-12-17 14:16:35,negatif
"Terimakasih untuk Tokopedia yang sudah bergabung menjadi mitra pelatihan prakerja dengan berbagai macam pilihan pelatihan prakerja di dalamnya, Tokopedia mempermudah proses pembelian voucher pelatihan dan semoga Tokopedia sukses dan lancar kedepannya tanpa kendala",2020-08-28 11:00:15,positif
Sangat kecewa dengan pihak toko pedia.. sudah 2 hari saya pesan barang ... Tidak ada respon.. tolong konfirmasinya saya sudah lunaskan pembayaran tapi tidak ada respon..,2019-12-29 23:40:49,negatif
Tokopedia makin ngak jelas. Pesen barang udah 3 hari 3 malam ngak ada kabar. Toko di chat bilang 1 hari sampe. Sangat kecewa mengunakan tokopedia. Sudah ngak profesional. BRENGSEK,2020-10-22 9:18:41,negatif
cb tidak masuk padahal diinvoice tertulis,2022-08-18 3:25:41,positif
"Belanjanya lancar jaya, sayang gak bisa kirim ulasan produk, selalu keluar notifikasi ada masalah di rumah tokped.",2021-12-08 2:39:23,positif
Aplikasi yg bagus buat prakerja smoga cpt sertifikat ke dasbor,2020-08-28 1:32:54,positif
